SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 0
hueRange : 100

Saved Organisms : 20

lifespan : 38
3, -1, -2
3, 0, -2
8, 0, -3
18, -3, 2
18, 5, -2
20, -2, 2
20, -6, -1
22, -2, -7
22, -2, 4
22, 1, 4
24, 4, -6
24, 8, -3
24, 8, -1
24, -5, 3
25, 3, -3
26, 7, 2
26, 2, -2
26, 8, 1
28, 0, 6
28, -1, 1
28, 5, 6
29, -4, 7
30, 9, -1
30, 10, -3
31, 9, 2
31, 3, 6
32, -11, 0
32, 0, -2
32, -12, -3
37, 1, 13
37, 7, -8
37, -8, 0
37, -8, -2
37, 7, 7
37, 0, -6

lifespan : 36
3, -1, -2
3, 0, -2
8, 0, -3
18, -3, 2
18, 5, -2
20, -2, 2
20, -6, -1
22, -2, -7
22, -2, 4
22, 1, 4
24, 4, -6
24, 8, -3
24, 8, -1
24, -5, 3
25, 3, -3
26, 7, 2
26, 2, -2
26, 8, 1
26, 3, -6
28, 0, 6
28, -1, 1
28, 5, 6
29, -4, 7
30, 9, -1
30, -6, -5
30, 10, -3
31, 9, 2
31, 3, 6
32, -11, 0
32, 0, -2
32, -12, -3

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
18, -3, 2
18, 5, -2
20, -2, 2
20, -6, -1
22, -2, -7
22, -2, 4
22, 1, 4
24, 4, -6
24, 8, -3
24, 8, -1
24, -5, 3
25, 3, -3
26, 7, 2
26, 2, -2
26, 8, 1
28, 0, 6
28, -1, 1
28, 5, 6
29, -4, 7
30, 9, -1
30, -6, -5
30, 10, -3
31, 9, 2
31, 3, 6
32, -11, 0
32, -12, -3
32, 11, -3
34, 5, -4
37, 1, 13
37, 7, -8
37, -8, 0
37, -8, -2
37, 7, 7
37, 0, -6
37, -2, 9

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
18, -3, 2
18, 5, -2
20, -2, 2
20, -6, -1
22, -2, -7
22, -2, 4
22, 1, 4
24, 4, -6
24, 8, -3
24, 8, -1
24, -5, 3
25, 3, -3
26, 7, 2
26, 2, -2
26, 8, 1
28, 0, 6
28, -1, 1
28, 5, 6
29, -4, 7
30, 9, -1
30, -6, -5
30, 10, -3
31, 9, 2
31, 3, 6
32, -11, 0
32, -12, -3
37, 1, 13
37, 7, -8
37, -8, 0
37, -8, -2
37, 7, 7
37, 0, -6
37, 1, 9

lifespan : 38
3, -1, -2
3, 0, -2
