SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false

Saved Organisms : 20

24, -5, 1
24, -4, 2
27, 2, -7
29, 0, 7
32, -2, 6
32, 0, 3
32, -8, 0
33, -2, -4
34, 6, 2
35, 5, 4
37, 2, 2
37, -1, -10
37, -2, 2

lifespan : 40
3, 1, 0
16, -1, 4
17, -1, -1
17, 0, -7
17, 2, 3
18, 2, -4
18, -1, 5
20, -3, 1
22, -3, 1
22, 5, -1
23, -3, -2
23, -2, -3
23, 0, -8
24, -5, 1
24, -4, 2
27, 2, -7
29, 0, 7
32, -2, 6
32, 0, 3
32, -8, 0
33, -2, -4
35, 5, 4
37, 2, 2
37, -1, -10
39, -3, -10
39, 0, 5
40, 9, 2

lifespan : 40
3, 1, 0
16, -1, 4
17, -1, -1
17, 0, -7
17, 2, 3
18, 2, -4
20, -3, 1
22, -3, 1
22, 5, -1
23, -3, -2
23, -2, -3
24, -4, 2
27, 2, -7
29, 0, 7
32, -2, 6
32, 0, 3
32, -8, 0
35, -9, 3
37, 2, 2
37, -1, -10
39, -7, 4
40, -6, 3

lifespan : 40
3, 1, 0
16, -1, 4
17, -1, -1
17, 0, -7
17, 2, 3
18, 2, -4
18, -1, 5
20, -3, 1
22, -3, 1
22, 5, -1
23, -3, -2
23, -2, -3
24, -5, 1
24, -4, 2
27, 2, -7
29, 0, 7
32, -2, 6
32, 0, 3
32, -8, 0
35, 5, 4
37, -1, -10
37, -2, 2
39, -3, -10
40, -6, 3
40, 9, 2

lifespan : 40
3, 1, 0
16, -1, 4
17, -1, -1
17, 0, -7
17, 2, 3
18, 2, -4
20, -3, 1
22, -3, 1
22, 5, -1
23, -3, -2
23, -2, -3
24, -5, 1
24, -4, 2
27, 2, -7
29, 0, 7
32, -2, 6
32, 0, 3
32, -8, 0
35, -9, 3
36, 0, 1
37, 2, 2
37, -1, -10
39, -7, 4
40, -6, 3

lifespan : 40
3, 1, 0
16, -1, 4
17, -1, -1
17, 0, -7
17, 2, 3
18, 2, -4
20, -3, 1
22, -3, 1
22, 5, -1
23, -3, -2
23, -2, -3
24, -5, 1
24, -4, 2
27, 2, -7
32, -2, 6
32, 0, 3
32, -8, 0
35, -9, 3
36, 0, 1
37, 2, 2
37, -1, -10
39, -7, 4
40, -6, 3
