SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 0
hueRange : 100

Saved Organisms : 20

19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
30, -6, 4
31, -10, -3
31, -5, 5
31, -7, -5
31, 3, -5
32, -12, -3
32, -5, 3
32, -1, -2
32, -6, -6
32, -2, -5
33, 2, 10
33, 7, -8
37, -3, -5
37, -2, 2
37, 5, 5
38, 10, 4

lifespan : 38
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
30, -6, 4
31, -10, -3
31, -5, 5
31, -7, -5
31, 3, -5
32, -12, -3
32, -5, 3
32, -1, -2
32, -6, -6
32, -2, -5
33, 2, 10
33, 7, -8
37, -3, -5
37, -2, 2
38, 10, 4

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
30, -6, 4
30, -4, -5
31, -10, -3
31, -5, 5
31, -7, -5
31, 3, -5
31, 0, 2
32, -12, -3
32, -5, 3
32, -1, -2
32, -6, -6
32, -2, -5
33, 2, 10
33, 7, -8
37, -3, -5
37, -2, 2
37, 5, 5
37, 3, -2

lifespan : 38
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
30, -6, 4
31, -10, -3
31, -5, 5
31, -7, -5
31, 3, -5
32, -12, -3
32, -5, 3
32, -1, -2
32, -6, -6
32, -2, -5
33, 2, 10
33, 7, -8
37, -3, -5
37, -2, 2
37, 5, 5
37, 3, -1
37, -8, -3
37, -9, -5
38, 10, 4

lifespan : 38
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
30, -6, 4
31, -10, -3
31, -5, 5
31, -7, -5
31, 3, -5
32, -12, -3
32, -5, 3
32, -1, -2
32, -6, -6
32, -2, -5
33, 2, 10
33, 7, -8
36, 9, 0
37, -3, -5
37, -2, 2
37, 5, 5
37, 3, -1
37, -8, -3
37, -9, -5
38, 10, 4

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
30, -6, 4
30, -4, -5
31, -10, -3
31, -5, 5
31, -7, -5
31, 3, -5
31, 0, 2
32, -12, -3
32, -5, 3
32, -1, -2
32, -6, -6
32, -2, -5
33, 2, 10
33, 7, -8
37, -3, -5
37, -2, 2
37, 5, 5
37, 3, -2

lifespan : 38
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
30, -6, 4
31, -10, -3
31, -5, 5
31, -7, -5
31, 3, -5
32, -12, -3
32, -5, 3
32, -6, -6
32, -2, -5
33, 2, 10
33, 7, -8
37, -3, -5
37, -2, 2
38, 10, 4

lifespan : 38
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
30, -6, 4
31, -10, -3
31, -5, 5
31, -7, -5
31, 3, -5
32, -12, -3
32, -5, 3
32, -1, -2
32, -6, -6
32, -2, -5
33, 2, 10
33, 7, -8
37, -3, -5
37, -2, 2
37, 5, 5
37, 3, -1
37, -8, -3
38, 10, 4

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
28, -1, -3
28, -2, 7
28, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
30, -6, 4
31, -10, -3
31, -5, 5
31, -7, -5
31, 3, -5
32, -12, -3
32, -5, 3
32, -1, -2
32, -6, -6
32, -2, -5
33, 2, 10
33, 7, -8
36, 9, -2
37, -2, 2
37, 5, 5
37, 3, -1
