SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 60
hueRange : 100

Saved Organisms : 20

31, -10, -3
31, -5, 5
31, -7, -5
32, -12, -3
32, -5, 3
32, -3, 4
32, -2, 0
32, -1, -2
32, -6, -6
33, -1, 8
35, 4, 8
37, 11, 2
37, 4, -3

lifespan : 38
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
27, 7, -2
28, -1, -3
28, -2, 7
29, 5, -4
29, -1, 1
29, 10, -3
31, -10, -3
31, -5, 5
31, -7, -5
32, -12, -3
32, -5, 3
32, -3, 4
32, -1, -2
32, -6, -6
32, -2, 1
34, 0, 10
34, -3, 9
36, -2, -8
38, 1, -5
38, 5, -5

lifespan : 40
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
27, 7, -2
28, -1, -3
28, -2, 7
29, 5, -4
29, -1, 1
29, 10, -3
30, -6, 4
30, 7, 3
31, -10, -3
31, -5, 5
31, -7, -5
32, -12, -3
32, -5, 3
32, -3, 4
32, -2, 0
32, -1, -2
32, 3, 2
32, -6, -6
32, -2, -5
33, 5, -6
34, 0, 1
37, 11, 2
37, -5, 1
37, -3, 9
37, 8, -7
38, -1, 7
38, 14, -3
39, -8, 4
39, 4, -8
40, -5, 5

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
18, 1, -1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
27, 7, -2
28, -1, -3
28, -2, 7
29, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
30, 8, 4
31, -10, -3
31, -7, -5
32, -12, -3
32, -5, 3
32, -3, 4
32, -2, 0
32, -1, -2
32, -6, -6
32, -2, 1
34, 0, 10
35, -5, -8
36, -2, -8
37, 2, 11

lifespan : 39
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
27, 7, -2
28, -1, -3
28, -2, 7
29, 5, -4
29, -1, 1
29, 10, -3
30, -6, 4
30, 7, 3
31, -10, -3
31, -5, 5
31, -7, -5
32, -12, -3
32, -5, 3
32, -3, 4
32, -2, 0
32, -1, -2
32, -6, -6
32, -2, -5
36, -2, 1
37, 11, 2
37, -3, -3
37, -5, 1
37, -3, 9
38, -1, 7
39, -8, 4

lifespan : 38
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
21, 5, 1
23, 7, -2
24, -2, -3
25, -1, 3
27, 7, -2
28, -1, -3
28, -2, 7
29, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
31, -10, -3
31, -5, 5
31, -7, -5
32, -12, -3
32, -5, 3
32, -3, 4
32, -2, 0
32, -1, -2
32, 3, 2
32, -6, -6
32, -2, -5
34, 0, 1
37, 11, 2
37, -3, -3
37, -5, 1
37, -3, 9
38, -1, 7

lifespan : 38
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
27, 7, -2
28, -1, -3
28, -2, 7
29, 5, -4
29, -1, 1
29, 10, -3
30, -6, 4
30, 7, 3
31, -10, -3
31, -7, -5
32, -12, -3
32, -5, 3
32, -3, 4
32, -2, 0
32, -6, -6
32, 1, 1
33, -4, -3
38, 1, -5

lifespan : 40
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
27, 7, -2
28, -1, -3
28, -2, 7
29, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
31, -10, -3
31, -5, 5
31, -7, -5
31, -1, 0
31, -4, -3
32, -12, -3
32, -3, 4
32, -2, 0
32, -1, -2
32, -6, -6
32, -2, -5
34, 0, 1
37, 11, 2
37, -3, -3
37, -5, 1
37, -3, 9
39, -8, 4
39, -7, 3
40, -5, 5

lifespan : 39
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
27, 7, -2
28, -1, -3
28, -2, 7
29, 5, -4
29, -1, 1
29, 10, -3
30, 7, 3
31, -10, -3
31, -5, 5
31, -7, -5
32, -5, 3
32, -3, 4
32, -1, -2
32, -6, -6
32, -2, 1
34, 0, 10
34, -3, 9
36, -2, -8
38, 1, -5
38, 5, -5

lifespan : 37
3, -1, -2
3, 0, -2
8, 0, -3
15, 1, 4
18, -4, 1
19, 3, -3
20, 5, -4
20, -6, 1
23, 7, -2
24, -2, -3
25, -1, 3
27, 7, -2
28, -1, -3
28, -2, 7
29, 5, -4
29, -1, 1
29, 10, -3
30, -6, 4
30, 7, 3
31, -10, -3
31, -5, 5
31, -7, -5
32, -12, -3
32, -5, 3
32, -3, 4
32, -2, 0
32, -1, -2
32, -6, -6
32, -2, -5
34, 0, 1
36, -2, 1
37, 11, 2
37, -3, -3
37, -5, 1
37, -3, 9
