SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false

Saved Organisms : 20

34, -12, 2
34, -10, 4
36, -10, -4
37, -10, 4
37, -8, 7

lifespan : 37
7, 2, 0
11, 2, -3
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
26, -3, -5
27, -10, -4
27, 2, -4
27, -1, -2
28, 0, 5
30, 5, 7
30, -2, -6
30, 0, -4
31, 4, 5
31, -10, 4
31, -6, 3
32, -13, 0
32, 0, 11
32, 3, -2
32, 3, -4
34, -9, 3
34, -12, 2
34, -10, 4
36, -10, -4
37, -10, 4
37, -2, -6

lifespan : 38
7, 2, 0
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
26, -3, -5
27, -10, -4
27, 2, -4
27, -1, -2
28, 0, 5
30, 5, 7
30, -2, -6
30, 0, -4
31, 4, 5
31, -10, 4
32, -13, 0
32, 0, 11
32, 3, -2
32, 3, -4
34, -9, 3
34, -12, 2
34, -10, 4
36, -10, -4
37, -10, 4
38, -9, 6

lifespan : 37
7, 2, 0
11, 2, -3
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
26, -3, -5
27, -10, -4
27, 2, -4
27, -1, -2
28, 0, 5
30, 5, 7
30, -2, -6
30, 0, -4
31, 4, 5
31, -10, 4
32, -13, 0
32, 0, 11
32, 3, -2
32, 3, -4
34, -9, 3
34, -12, 2
34, -10, 4
36, -10, -4
37, -10, 4

lifespan : 37
7, 2, 0
11, 2, -3
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
26, -3, -5
27, -10, -4
27, 2, -4
27, -1, -2
28, 0, 5
30, 5, 7
30, -2, -6
30, 0, -4
31, -10, 4
32, -13, 0
32, 0, 11
32, 3, -2
32, 3, -4
34, -9, 3
34, -12, 2
34, -10, 4
36, -10, -4
37, -10, 4

lifespan : 37
7, 2, 0
11, 2, -3
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
26, -3, -5
27, -10, -4
27, 2, -4
27, -1, -2
28, 0, 5
30, 5, 7
30, -2, -6
30, 0, -4
31, 4, 5
31, -10, 4
32, -13, 0
32, 0, 11
32, 3, -2
32, 3, -4
34, -9, 3
34, -12, 2
34, -10, 4
36, -10, -4
37, -10, 4
37, -8, 7

lifespan : 37
7, 2, 0
11, 2, -3
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
26, -3, -5
27, -10, -4
27, 2, -4
27, -1, -2
28, 0, 5
30, 5, 7
30, -2, -6
30, 0, -4
31, 4, 5
31, -10, 4
32, -13, 0
32, 0, 11
32, 3, -2
32, 3, -4
34, -9, 3
34, -12, 2
34, -10, 4
34, 1, 1
36, -10, -4
37, -10, 4
37, -8, 7

lifespan : 37
7, 2, 0
11, 2, -3
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
26, -3, -5
27, -10, -4
27, 2, -4
27, -1, -2
28, 0, 5
30, 5, 7
30, -2, -6
30, 0, -4
31, 4, 5
31, -10, 4
32, -13, 0
32, 0, 11
32, 3, -2
32, 3, -4
34, -9, 3
34, -12, 2
34, -10, 4
36, -10, -4
37, -10, 4
