SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 0
hueRange : 200

Saved Organisms : 20

22, -3, -6
25, 0, 2
25, -6, 1
26, 6, 0
28, 0, 6
29, 2, 6
30, 9, -1
30, 6, 0
30, -2, 6
30, -2, 4
31, 7, -4
31, -2, -8
32, 6, -5
34, -6, 2
37, 8, -4
37, 0, -2
37, -5, 1

lifespan : 38
3, -1, -2
10, 2, -3
16, -1, 1
18, -3, 0
20, -2, 2
21, -1, 2
21, 5, -3
22, -2, -7
22, -3, -6
25, 0, 2
25, -6, 1
26, 6, 0
28, 0, 6
29, 2, 6
30, 9, -1
30, 6, 0
30, -2, 6
30, -2, 4
31, 7, -4
31, -2, -8
32, 6, -5
32, -6, 1
33, 10, -1
37, 8, -4

lifespan : 38
3, -1, -2
10, 2, -3
16, -1, 1
18, -3, 0
20, -2, 2
21, -1, 2
21, 5, -3
22, -2, -7
22, -3, -6
25, 0, 2
25, -6, 1
26, 6, 0
28, 0, 6
29, 2, 6
30, 9, -1
30, 6, 0
30, -2, 6
30, -2, 4
31, 7, -4
31, -2, -8
32, 6, -5
32, -6, 1
33, 10, -1
36, -5, 2
37, 8, -4

lifespan : 37
3, -1, -2
10, 2, -3
16, -1, 1
18, -3, 0
20, -2, 2
21, -1, 2
21, 5, -3
22, -2, -7
22, -3, -6
25, 0, 2
25, -6, 1
26, 6, 0
28, 0, 6
29, 2, 6
30, 9, -1
30, 6, 0
30, -2, 6
30, -2, 4
31, 7, -4
31, -2, -8
32, 6, -5
32, -6, 1
33, 10, -1
36, -5, 2
37, 8, -4
37, 0, -2

lifespan : 38
3, -1, -2
10, 2, -3
16, -1, 1
18, -3, 0
20, -2, 2
21, -1, 2
21, 5, -3
22, -2, -7
25, 0, 2
25, -6, 1
26, 6, 0
28, 0, 6
28, -1, 1
29, 2, 6
30, 9, -1
30, 6, 0
30, -2, 6
30, -2, 4
31, 7, -4
31, -2, -8
32, 6, -5
37, 8, -4
37, 0, -2

lifespan : 38
3, -1, -2
10, 2, -3
16, -1, 1
18, -3, 0
20, -2, 2
21, -1, 2
21, 5, -3
22, -2, -7
22, -3, -6
25, 0, 2
25, -6, 1
26, 6, 0
28, 0, 6
29, 2, 6
30, 9, -1
30, 6, 0
30, -2, 6
30, -2, 4
31, 7, -4
31, -2, -8
32, 6, -5
34, -6, 2
37, 8, -4
37, 0, -2
37, -5, 1
