SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 300
hueRange : 200

Saved Organisms : 20

lifespan : 39
3, -1, -2
3, 0, -2
8, 0, -3
12, 0, 0
18, -3, 2
18, 5, -2
20, -2, 2
20, -6, -1
21, 5, -3
22, -2, -7
24, 4, -6
25, -6, 1
25, 3, -3
26, 7, 2
26, 2, -2
28, 0, 6
28, -1, 1
28, -9, 0
29, -2, -2
30, 9, -1
30, -2, 6
30, -2, 4
31, -2, -8
31, -3, -4
32, 6, -5
34, 7, -7
35, 10, 3
39, 2, -6

lifespan : 39
3, -1, -2
3, 0, -2
8, 0, -3
12, 0, 0
18, -3, 2
18, 5, -2
20, -2, 2
20, -6, -1
21, 5, -3
22, -2, -7
24, 4, -6
25, -6, 1
25, 3, -3
26, 7, 2
26, 2, -2
28, 0, 6
28, -1, 1
28, -9, 0
29, -2, -2
30, 9, -1
30, -2, 6
30, -2, 4
31, -2, -8
31, -3, -4
33, -5, 1
34, 7, -7
35, 10, 3
37, 8, -4
39, 2, -6
39, 7, 3

lifespan : 39
3, -1, -2
3, 0, -2
8, 0, -3
12, 0, 0
18, -3, 2
18, 5, -2
20, -2, 2
20, -6, -1
21, 5, -3
22, -2, -7
24, 4, -6
25, -6, 1
25, 3, -3
26, 7, 2
26, 2, -2
28, 0, 6
28, -1, 1
28, -9, 0
29, -2, -2
30, 9, -1
30, -2, 6
30, -2, 4
31, -2, -8
31, -3, -4
32, 6, -5
34, 7, -7
35, 10, 3
36, -2, 9
37, 8, -4
39, 2, -6

lifespan : 39
3, -1, -2
3, 0, -2
8, 0, -3
12, 0, 0
18, -3, 2
18, 5, -2
18, 1, -1
20, -2, 2
20, -6, -1
21, 5, -3
24, 4, -6
25, -6, 1
25, 3, -3
26, 7, 2
26, 2, -2
28, 0, 6
28, -9, 0
29, -2, -2
30, 9, -1
30, -2, 6
30, -2, 4
31, -2, -8
31, -3, -4
31, -7, -4
34, 7, -7
35, 10, 3
37, 8, -4
39, 2, -6

lifespan : 40
3, -1, -2
3, 0, -2
8, 0, -3
12, 0, 0
18, -3, 2
18, 5, -2
20, -2, 2
20, -6, -1
21, 5, -3
24, 4, -6
25, -6, 1
25, 3, -3
26, 7, 2
26, 2, -2
28, 0, 6
28, -1, 1
28, -9, 0
29, -2, -2
30, 9, -1
30, -2, 6
30, -2, 4
31, -2, -8
31, -3, -4
32, 6, -5
33, -5, 1
35, 10, 3
