SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 37
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false

Saved Organisms : 20

7, 2, 0
11, 2, -3
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
27, -10, -4
27, 2, -4
28, 0, 5
30, 2, -2
30, 2, -7
31, 4, 5
31, -10, 4
32, -13, 0
32, 2, -2
32, 0, 11
34, -9, 3
34, -12, 2
34, -7, 3
36, -10, -4

lifespan : 39
7, 2, 0
11, 2, -3
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
27, -10, -4
27, 2, -4
28, 0, 5
28, -2, 4
30, 2, -2
30, 2, -7
31, 4, 5
31, -10, 4
32, -13, 0
32, 0, 11
32, 4, 0
34, -9, 3
34, -12, 2
36, -10, -4

lifespan : 37
7, 2, 0
11, 2, -3
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
27, -10, -4
27, 2, -4
28, 0, 5
30, 2, -2
30, 2, -7
31, 4, 5
31, -10, 4
32, -13, 0
32, 0, 11
32, 4, 0
34, -9, 3
34, -12, 2
36, -10, -4
37, -1, 12
37, -3, -11

lifespan : 37
7, 2, 0
11, 2, -3
20, -5, -3
21, -2, -4
22, -7, 1
23, -2, -6
24, 3, 4
26, -8, -4
26, 1, 2
27, -10, -4
27, 2, -4
28, 0, 5
28, -2, 4
30, 2, -7
31, 4, 5
31, -10, 4
32, -13, 0
32, 2, -2
32, 0, 11
34, -9, 3
34, -12, 2
