SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 30
minAgeToHaveChildren : 0
mutationRate : 3
sproutDelayedMode : false
primaryHueDegrees : 0
hueRange : 200

Saved Organisms : 20

lifespan : 31
29, 5, -8
30, 7, -7
30, 11, 0
31, 6, -4

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -1, -7
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0
30, 6, 6

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, 0, 3
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
23, -1, -4
23, -2, 4
23, 2, 1
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, -3, -7
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -3, -6
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -6
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -1, -7
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0
30, 6, 6

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -1, -7
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0
30, 6, 6
30, -10, 2

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
25, 5, -4
26, 2, -11
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -1, -7
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0
30, 6, 6

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, 0, 3
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
23, -1, -4
23, -2, 4
23, 2, 1
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, -3, -7
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -3, -6
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 5, 4
26, 2, -11
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -1, -7
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0
30, 6, 6
30, 4, -2

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, 0, 3
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 2, 1
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, 0, -1
26, 0, 2
26, 3, -9
26, 0, 8
27, -2, 3
27, 9, 1
27, -5, -6
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -1, -7
28, -1, 8
29, 5, -8
29, -7, -5
30, 7, -7
30, 11, 0
30, -1, -11

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -1, -7
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0
30, 6, 6

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, 0, 3
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
23, -1, -4
23, -2, 4
23, 2, 1
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, -3, -7
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -3, -6
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
23, -3, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -1, -7
29, 8, -3
29, -1, -11
29, 5, -8
29, -11, -3
29, -1, -7
30, 7, -7
30, 11, 0
30, 6, 6

lifespan : 31
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, 0, 3
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 2, 1
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 0, 3
27, -5, 3
27, -3, -4
27, -2, -4
27, 6, -5
27, -5, 1
28, -1, -7
29, 5, -8
29, -7, -6
30, 7, -7
30, 11, 0
30, -1, -11
31, 6, -4

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -1, -7
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0
30, 6, 6

lifespan : 30
3, -1, -2
12, -2, -4
12, 3, -1
12, -1, -4
14, -4, -1
14, 2, 3
14, 0, -3
14, -1, -2
16, 1, -1
16, -4, -2
17, 2, 4
19, 6, 1
19, 3, 2
19, -4, -3
19, 4, -1
19, -1, 0
19, -3, 2
20, 2, -5
20, -4, -4
21, 3, 3
21, -3, -5
21, -1, -7
21, 6, -3
22, 3, -5
22, -3, -2
22, -2, 1
22, -4, -7
23, -1, -4
23, -2, 4
23, 1, -4
23, -8, 1
23, -1, -8
23, -3, -7
24, -4, -1
24, -4, 1
24, -2, 1
24, 1, -7
24, -7, -4
24, -2, -8
24, -2, -7
25, 4, -3
25, 8, 1
25, 5, 4
26, 2, -11
26, 0, -1
26, 0, 2
27, -2, 3
27, 9, 1
27, -5, -6
27, 3, -8
27, 0, 3
27, -5, 3
27, -5, 0
27, -3, -4
27, -2, -4
27, 6, -5
28, -1, -7
29, 8, -3
29, -1, -11
29, 5, -8
30, 7, -7
30, 11, 0
30, 6, 6
