SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 20
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

19, -7, -3
19, 6, 0
20, -2, 4
21, 6, -2
21, -9, -1
21, 4, -6
21, -3, -5
21, -4, 2
21, 1, 5
21, 2, 5
21, -8, -2
21, -5, 0
21, 6, -1
21, 3, -7
21, 3, -2

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
12, -2, 0
13, -2, 0
13, 0, -4
14, 2, -4
14, -3, -3
14, 2, 3
15, 4, -3
15, 1, -6
15, 3, -2
15, -1, -3
16, 2, -5
16, -1, -4
16, 3, 2
17, 0, -3
18, -6, 0
18, 5, 1
18, 1, 5
19, -1, -6
19, -2, -6
19, -3, 2
21, 6, -2
21, -9, -1
21, -3, -5
21, -4, 2
21, 1, 5
21, 2, 5
21, -5, 0
21, 5, 1
21, -5, 2
21, 3, -3
21, -2, 5

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
12, -2, 0
13, -2, 0
13, 0, -4
14, -3, -3
14, 2, 3
14, 2, -4
15, 4, -3
15, 1, -6
15, 3, -2
15, -1, -3
16, -1, -4
16, 3, 2
16, 2, -5
17, 3, 0
17, 0, -3
18, 0, -5
18, 1, 5
18, -6, 0
19, -1, -6
19, -2, -6
19, -3, 1
19, -5, 1
19, -7, -3
19, 3, -5
20, 6, 1
20, 4, -6
21, 6, -2
21, -9, -1
21, -3, -5
21, -4, 2
21, 1, 5
21, 2, 5
21, -8, -2
21, -5, 0
21, 8, 0

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
12, -2, 0
13, -2, 0
13, 0, -4
14, -3, -3
14, 2, 3
14, 2, -4
15, 4, -3
15, 1, -6
15, 3, -2
15, -1, -3
16, -1, -4
16, 3, 2
16, 2, -5
17, 3, 0
17, 0, -3
18, 0, -5
18, 1, 5
18, -6, 0
19, -1, -6
19, -2, -6
19, -3, 1
19, -7, -3
21, 6, -2
21, -9, -1
21, 4, -6
21, -3, -5
21, -4, 2
21, 1, 5
21, 2, 5
21, 6, -1
21, 8, -3

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
12, -2, 0
13, -2, 0
13, 0, -4
14, 2, -4
14, -3, -3
14, 2, 3
15, 4, -3
15, 1, -6
15, 3, -2
15, -1, -3
16, 2, -5
16, -1, -4
16, 3, 2
17, 0, -3
18, 1, 5
18, -6, 0
18, 5, 1
19, -1, -6
19, -2, -6
19, -3, 2
21, 6, -2
21, -9, -1
21, -3, -5
21, -4, 2
21, 1, 5
21, 2, 5
21, -5, 0
21, 5, 1
21, -5, 2
21, 3, -3
21, -2, 5
21, -5, -4

lifespan : 20
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
12, -2, 0
13, -2, 0
13, 0, -4
14, 2, -4
14, -3, -3
14, 2, 3
15, 4, -3
15, 1, -6
15, 3, -2
15, -1, -3
16, 2, -5
16, -1, -4
16, 3, 2
18, -6, 0
18, 5, 1
18, 1, 5
19, -1, -6
19, -2, -6
19, -3, 2

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
12, -2, 0
13, -2, 0
13, 0, -4
14, 2, -4
14, -3, -3
14, 2, 3
15, 4, -3
15, 1, -6
15, 3, -2
15, -1, -3
16, 2, -5
16, -1, -4
16, 3, 2
17, 0, -3
18, -6, 0
18, 5, 1
18, 1, 5
19, -1, -6
19, -2, -6
19, -3, 2
21, 6, -2
21, -9, -1
21, -3, -5
21, -4, 2
21, 1, 5
21, 2, 5
21, -5, 0
21, 5, 1
21, -5, 2
21, 3, -3
21, -2, 5

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
12, -2, 0
13, -2, 0
13, 0, -4
14, -3, -3
14, 2, 3
14, 2, -4
15, 4, -3
15, 1, -6
15, 3, -2
15, -1, -3
16, -1, -4
16, 3, 2
16, 2, -5
17, 3, 0
17, 0, -3
18, 0, -5
18, 1, 5
18, -6, 0
19, -2, -6
19, -3, 1
19, -7, -3
19, -1, -6
21, 6, -2
21, -9, -1
21, 4, -6
21, -3, -5
21, -4, 2
21, 1, 5
21, 2, 5
21, -5, 0
21, 6, -1
21, 8, -3

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
12, -2, 0
13, -2, 0
13, 0, -4
14, -3, -3
14, 2, 3
14, 2, -4
15, 4, -3
15, 1, -6
15, 3, -2
15, -1, -3
16, -1, -4
16, 3, 2
16, 2, -5
17, 3, 0
17, 0, -3
18, 0, -5
18, 1, 5
18, -6, 0
19, -2, -6
19, -3, 1
19, -7, -3
19, -1, -6
21, 6, -2
21, -9, -1
21, 4, -6
21, -3, -5
21, -4, 2
21, 1, 5
21, 2, 5
21, -5, 0
21, 6, -1
21, 8, -3

lifespan : 21
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
12, -2, 0
13, -2, 0
13, 0, -4
14, -3, -3
14, 2, 3
14, 2, -4
15, 4, -3
15, 1, -6
15, 3, -2
15, -1, -3
16, -1, -4
16, 3, 2
16, 2, -5
17, 3, 0
17, 0, -3
18, 0, -5
18, 1, 5
18, -6, 0
19, -1, -6
19, -2, -6
19, -3, 1
19, -7, -3
21, 6, -2
21, -9, -1
21, 4, -6
21, -3, -5
21, -4, 2
21, 1, 5
21, 2, 5
21, -5, 0
21, 6, -1
21, 8, -3

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
12, -2, 0
13, -2, 0
13, 0, -4
14, -3, -3
14, 2, 3
14, 2, -4
15, 4, -3
15, 1, -6
15, 3, -2
15, -1, -3
16, -1, -4
16, 3, 2
16, 2, -5
17, 0, -3
18, 0, -5
18, 1, 5
18, -6, 0
19, -2, -6
19, -3, 1
19, -7, -3
19, -1, -6
21, 6, -2
21, -9, -1
21, 4, -6
21, -3, -5
21, -4, 2
21, 1, 5
21, 2, 5
21, -5, 0
21, 6, -1
21, 8, -3
22, 5, -2
