SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 20
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
13, 0, -4
13, -2, 0
14, 2, -4
14, 2, 3
14, -3, -3
14, -1, 0
15, 4, -3
15, 2, -2
15, 1, -6
15, 3, -2
16, 3, 2
16, -1, -6
16, -4, -3
16, -3, -1
17, 2, -6
17, 3, 0
18, -2, -1
18, 1, 4
19, -4, -2
20, 3, -7
21, -1, -1
21, 8, 0

lifespan : 23
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
13, 0, -4
13, -2, 0
14, 2, -4
14, 2, 3
14, -3, -3
14, -1, 0
15, 4, -3
15, 2, -2
15, 1, -6
15, 3, -2
16, 3, 2
16, -1, -6
16, -4, -3
16, -3, -1
17, 2, -6
17, 3, 0
18, -2, -1
18, 1, 4
19, -4, -2
20, 3, -7
21, -1, -1
21, 8, 0
23, -4, 0

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
13, -2, 0
13, 0, -4
14, 2, -4
14, 2, 3
14, -3, -3
14, -1, 0
15, 4, -3
15, 2, -2
15, 1, -6
15, 3, -2
16, 3, 2
16, -1, -6
16, -4, -3
16, -3, -1
17, 2, -6
17, 3, 0
18, -2, -1
18, 1, 4
18, -4, -4
20, 7, -3
21, 8, 0
21, -7, -2
21, 8, -1
22, -4, 1
22, -1, -2

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
13, -2, 0
13, 0, -4
14, 2, -4
14, 2, 3
14, -3, -3
14, -1, 0
15, 4, -3
15, 2, -2
15, 1, -6
15, 3, -2
16, 3, 2
16, -1, -6
16, -4, -3
16, -3, -1
17, 2, -6
17, 3, 0
18, -2, -1
18, 1, 4
19, -7, -1
20, -3, 3
21, -7, -2
22, -4, 1
22, -1, -2
22, 8, -1

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
13, 0, -4
13, -2, 0
14, 2, -4
14, 2, 3
14, -3, -3
14, -1, 0
15, 4, -3
15, 2, -2
15, 1, -6
15, 3, -2
16, 3, 2
16, -1, -6
16, -4, -3
16, -3, -1
17, 2, -6
17, 3, 0
17, -3, -1
18, 1, 4
19, -4, -2
20, 3, -7
21, -1, -1
21, 8, 0
22, -4, 1
22, 7, 1

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
13, -2, 0
13, 0, -4
14, 2, -4
14, -3, -3
14, -1, 0
14, 2, 3
15, 4, -3
15, 2, -2
15, 1, -6
15, 3, -2
16, 3, 2
16, -1, -6
16, -4, -3
16, -3, -1
17, 2, -6
17, 3, 0
18, 1, 4
21, -1, -1
21, -5, -4
22, -4, 1
22, -1, -2
22, 8, 0

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
13, 0, -4
13, -2, 0
14, 2, -4
14, 2, 3
14, -3, -3
14, -1, 0
15, 4, -3
15, 2, -2
15, 1, -6
15, 3, -2
16, 3, 2
16, -1, -6
16, -4, -3
16, -3, -1
17, 2, -6
17, 3, 0
18, -2, -1
18, 1, 4
19, -4, -2
20, 3, -7
21, -1, -1
21, 8, 0
21, 2, -2
22, -4, 1

lifespan : 22
3, -1, -2
5, -1, -1
8, 1, -2
9, -1, 0
11, -3, 1
12, 0, 2
12, -1, 1
13, -2, 0
13, 0, -4
14, 2, -4
14, -3, -3
14, -1, 0
14, 2, 3
15, 4, -3
15, 2, -2
15, 1, -6
15, 3, -2
16, 3, 2
16, -1, -6
16, -4, -3
16, -3, -1
17, 2, -6
17, 3, 0
18, -2, -1
18, 1, 4
21, -1, -1
21, -5, -4
22, -4, 1
22, -1, -2
22, 8, 0
