SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 30
minAgeToHaveChildren : 0
mutationRate : 5
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
25, 2, 3
25, 2, -8
25, 6, 3
26, -3, -5
26, 1, -9
30, 0, -13

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
25, 2, 3
25, 2, -8
25, 6, 3
26, -3, -5
26, 1, -9
30, 0, -13

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
25, 2, 3
25, 2, -8
25, 6, 3
26, -3, -5
26, 1, -9
30, -1, 10

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, -5
22, 3, -5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
25, 2, 3
25, 2, -8
25, 6, 3
26, -3, -5
26, 1, -9

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
25, 2, 3
25, 2, -8
25, 6, 3
26, -3, -5
26, 1, -9
29, 0, 3
30, -1, 10

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
25, 2, 3
25, 2, -8
25, 6, 3
26, -3, -5
26, 1, -9
30, -1, 10

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
23, 3, -7
24, -6, -3
24, -6, 0
24, -3, 2
25, 2, 3
25, 2, -8
25, 6, 3
26, -3, -5
26, 1, -9
29, 3, -10
30, -1, 10

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
25, 2, 3
25, 2, -8
25, 6, 3
26, -3, -5
26, 1, -9
