SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 30
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

24, -2, -4
28, 2, 9
29, -2, 2
30, 9, 2
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -2, -1
30, -6, 3

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, -1, -4
23, 6, 4
23, -1, 1
23, -6, -2
24, -2, -4
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -2, -1

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
22, -2, 3
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -1, 1
23, -6, -2
24, -2, -4
28, 2, 9
29, -2, 2
30, 9, 2
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -2, -1
30, -6, 3

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
22, -2, 3
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, -1, -4
23, 6, 4
23, -1, 1
23, -6, -2
25, -3, -3
29, -2, 2
30, 9, 2
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -2, -1
30, -6, 3
31, -1, 7
31, 0, 11
31, 1, 10

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
22, -2, 3
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -1, 1
23, -6, -2
23, -4, -2
24, -2, -4
28, 2, 9
29, -2, 2
30, 9, 2
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -6, 3

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
22, -2, 3
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -1, 1
23, -6, -2
23, -4, -2
24, -2, -4
28, 2, 9
29, -2, 2
30, 9, 2
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -6, 3

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
22, -2, 3
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -1, 1
23, -6, -2
23, -4, -2
24, -2, -4
28, 2, 9
29, -2, 2
30, 9, 2
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -6, 3
31, -1, 7
31, 0, 11
31, 1, 10

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
22, -2, 3
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -1, 1
23, -6, -2
24, -2, -4
28, 2, 9
29, -2, 2
30, 9, 2
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -2, -1
30, -6, 3

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
22, -2, 3
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, -1, -4
23, 6, 4
23, -1, 1
23, -6, -2
25, -3, -3
28, 2, 9
29, -2, 2
30, 9, 2
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -2, -1
30, -6, 3

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
22, -2, 3
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -1, 1
23, -6, -2
23, -4, -2
24, -2, -4
28, 2, 9
29, -2, 2
30, 9, 2
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -6, 3
