SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 30
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
24, 3, 2
25, 2, -8
26, 1, -9
30, -2, 1
30, 0, -10
30, 3, 6
30, -8, 0

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, 3, 2
25, 2, -8
26, 1, -9
26, 5, -5
30, -5, 5
30, 0, -10
30, 3, 6
30, -8, 0
30, 4, -10
30, -8, 1
31, 3, -10

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
20, 6, -1
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
25, 2, -8
26, 1, -9
26, 5, -5
30, -5, 5
30, -2, 1
30, 0, -10
30, 3, 6
30, -8, 0
31, -3, -7

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
20, 6, -1
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
24, 3, 2
25, 2, -8
26, 1, -9
30, -2, 1
30, 0, -10
30, 3, 6
30, -8, 0
31, -3, -7

lifespan : 32
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
20, 6, -1
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
24, 3, 2
26, 1, -9
26, 5, -5
30, -5, 5
30, 0, -10
30, 3, 6
30, -8, 0
30, 4, -10
32, 5, 1

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
20, 6, -1
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, 3, 2
25, 2, -8
26, 1, -9
26, 5, -5
30, -5, 5
30, 0, -10
30, 3, 6
30, -8, 0
30, 4, -10

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
20, 6, -1
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, 3, 2
25, 2, -8
26, 1, -9
26, 5, -5
30, -5, 5
30, 0, -10
30, 3, 6
30, -8, 0
30, 4, -10
30, -8, 1

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
20, 6, -1
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -3, 2
24, 3, 2
25, 2, -8
26, 1, -9
26, 5, -5
30, -5, 5
30, -2, 1
30, 0, -10
30, 3, 6
30, -8, 0
30, 4, -10

lifespan : 29
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
20, 6, -1
21, -4, -1
21, 2, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, 3, 2
25, 2, -8
26, 1, -9
26, 5, -5

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
20, 6, -1
21, -4, -1
21, 2, -5
22, 3, -5
22, 2, 5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, 3, 2
25, 2, -8
26, 1, -9
26, 5, -5
30, -5, 5
30, 0, -10
30, 3, 6
30, -8, 0
30, 4, -10
