SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 30
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

30, -2, 4
30, -1, -2
30, -6, 3
30, -5, -3
30, 7, 5
30, 3, -5
30, -5, -4
30, -4, -3

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, 1
21, 1, 1
21, 2, -5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -2, 0
24, 4, 2
25, 2, 3
28, 1, 9
30, -2, 4
30, -1, -2
30, -6, 3
30, 3, -5

lifespan : 29
3, -1, -2
5, -1, -1
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, 1
22, 4, -5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -2, 0
24, 4, 2
25, 1, -10

lifespan : 29
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
23, -6, 0
29, -9, -2

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, 1
22, 4, -5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -2, 0
24, 4, 2
25, 1, -10
30, -2, 4
30, -6, 3
30, -5, -3
30, 7, 5
30, 3, -5
30, 0, -7

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
23, -6, 0
25, -4, -7
30, -5, -3
30, 7, 5
30, -6, -2
30, 6, 5
30, -6, -4

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
11, -2, 1
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
21, 2, 1
22, 4, -5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -2, 0
24, 4, 2
25, 1, -10
30, -2, 4
30, -1, -2
30, -6, 3
30, -5, -3
30, 7, 5
30, 3, -5

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
20, 3, -6
21, -4, -1
21, 2, 1
22, 4, -5
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, -2
24, -6, -3
24, -6, 0
24, -2, 0
24, 4, 2
25, 1, -10
28, -1, 10
30, -2, 4
30, -1, -2
30, -6, 3
30, -5, -3
30, 7, 5
30, 3, -5
30, -5, -4

lifespan : 32
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 4, -5
22, 4, -6
23, 8, 1
23, 1, -8
23, -5, -5
23, -1, -8
23, 6, 4
23, -6, 0
30, -5, -3
30, 7, 5
30, -6, -2
30, -6, -4
