SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 30
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

16, 3, -3
18, 4, -4
20, 6, -4
21, 2, -7
22, 4, -5
22, 1, 6
22, -2, 6
23, 4, -6
23, -3, -7
23, 8, 1
23, 5, -6
23, -2, -7
24, 0, 2
24, -1, 2
24, 2, 0
24, 1, -3
24, 4, 5
25, -4, 1
25, -5, -4
25, 1, -3
26, 0, -5
26, 6, 0
26, -2, 3
27, 6, 1
30, -4, 5
30, 3, -7
30, 1, 7
31, 7, -6
31, 2, 8

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
20, 6, -4
21, 2, -7
22, 4, -5
22, 1, 6
22, -2, 6
23, 4, -6
23, -3, -7
23, 8, 1
23, 5, -6
23, -2, -7
24, 0, 2
24, -1, 2
24, 2, 0
24, 1, -3
24, 4, 5
25, -4, 1
25, -5, -4
25, 1, -3
26, 0, -5
26, 6, 0
26, -2, 3
27, 6, 1
30, -4, 5
30, 3, -7
30, 1, 7
31, 7, -6
31, 2, 8

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
20, 6, -4
21, 2, -7
22, 4, -5
22, 1, 6
22, -2, 6
23, 4, -6
23, -3, -7
23, 8, 1
23, 5, -6
23, -2, -7
24, 0, 2
24, -1, 2
24, 2, 0
24, 1, -3
24, 4, 5
25, -4, 1
25, -5, -4
26, 0, -5
26, 6, 0
26, -2, 3
27, 6, 1
30, -4, 5
30, 3, -7
30, 1, 7
31, 2, 8

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
20, 6, -4
21, 2, -7
22, 4, -5
22, 1, 6
22, -2, 6
23, 4, -6
23, -3, -7
23, 8, 1
23, 5, -6
23, -2, -7
24, 0, 2
24, -1, 2
24, 2, 0
24, 1, -3
24, 4, 5
25, -5, -4
25, 1, -3
26, 0, -5
26, 6, 0
26, -2, 3
30, -4, 5
30, 1, 7
31, 7, -6
31, 2, 8

lifespan : 32
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
20, 6, -4
21, 2, -7
22, 4, -5
22, 1, 6
22, -2, 6
23, 4, -6
23, -1, 2
23, -3, -7
23, 8, 1
23, 5, -6
23, -2, -7
24, 0, 2
24, -1, 2
24, 2, 0
24, 1, -3
24, 4, 5
25, -4, 1
25, -5, -4
26, 6, 0
26, -2, 3
30, -4, 5
30, 3, -7
30, 1, 7
32, -8, -1

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
20, 6, -4
21, 2, -7
22, 4, -5
22, 1, 6
22, -2, 6
23, 4, -6
23, -3, -7
23, 8, 1
23, 5, -6
23, -2, -7
24, 0, 2
24, -1, 2
24, 2, 0
24, 1, -3
24, 4, 5
25, -5, -4
25, 1, -3
26, 0, -5
26, 6, 0
26, -2, 3
30, -4, 5
30, 1, 7
31, 7, -6
31, 2, 8

lifespan : 33
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
20, 6, -4
21, 2, -7
22, 4, -5
22, 1, 6
22, -2, 6
23, 4, -6
23, -3, -7
23, 8, 1
23, 5, -6
23, -2, -7
24, 0, 2
24, -1, 2
24, 2, 0
24, 1, -3
24, 4, 5
25, -4, 1
25, -5, -4
25, 1, -3
26, 0, -5
26, 6, 0
26, -2, 3
27, 6, 1
30, -4, 5
30, 3, -7
30, 1, 7
31, 2, 8
32, -8, -1

lifespan : 31
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
20, 6, -4
21, 2, -7
22, 4, -5
22, 1, 6
22, -2, 6
23, 4, -6
23, -1, 2
23, -3, -7
23, 8, 1
23, 5, -6
23, -2, -7
24, 0, 2
24, -1, 2
24, 2, 0
24, 1, -3
24, 4, 5
25, -4, 1
25, -5, -4
26, 0, -5
26, 6, 0
26, -2, 3
30, -4, 5
30, 1, 7
31, 7, -6
31, 2, 8

lifespan : 33
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
20, 6, -4
21, 2, -7
22, 4, -5
22, 1, 6
22, -2, 6
23, 4, -6
23, -3, -7
23, 8, 1
23, 5, -6
23, -2, -7
24, 0, 2
24, -1, 2
24, 2, 0
24, 1, -3
