SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 5
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

22, 2, 0
22, -7, -3
22, -3, -6
24, 5, -2
24, 10, -1
24, -3, -1
26, -6, 3
28, -9, 0

lifespan : 29
3, -1, -2
5, -1, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 3, -2
14, 2, -4
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, -2
17, 4, -4
17, -1, -6
17, 4, 2
19, -5, -2
19, -5, -1
19, -2, -2
19, -4, -3
20, 0, -7
20, 0, 6
20, -1, 4
20, -2, 0
22, -4, 3
22, 7, -1
22, 4, -4
22, -7, -3
22, -6, 1
23, 6, -3
23, -4, -1
24, 4, 1
24, 0, -10
24, -8, -3
24, -2, -8
25, 7, 0
25, 9, -3
25, 8, 2
26, 7, -1
27, -3, 2
28, -9, 0
28, 1, -9
29, 5, 2

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 3, -2
14, 2, -4
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -1
19, -2, -2
19, -4, -3
19, -6, -2
20, 0, -7
20, 0, 6
20, -1, 4
20, -2, 0
22, 4, -4
22, -7, -3
23, 3, 0
23, -2, -8
24, 4, 1
24, 0, -10
24, -7, -3
24, -1, -8
27, -3, -5

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 3, -2
14, 2, -4
15, -2, -5
15, 3, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -5, -1
19, -2, -2
19, -4, -3
20, 0, -7
20, 0, 6
20, -1, 4
20, -2, 0
21, -2, -1
22, -4, 3
22, 4, -4
22, -7, -3
22, 6, -1
24, 4, 1
24, -7, -3
24, 0, -10
25, 8, -1

lifespan : 29
3, -1, -2
5, -1, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 3, -2
14, 2, -4
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -5, -1
19, -2, -2
19, -4, -3
20, 0, -7
20, 0, 6
20, -1, 4
20, -2, 0
20, 4, -1
22, -4, 3
22, 4, -4
22, -2, -3
24, -8, -1
24, 4, 4
24, -1, 3
24, -6, 1
28, -7, 2
29, 5, 2

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, 3, -3
15, -2, -5
16, 0, -3
16, -2, -1
17, -1, 1
17, -3, -3
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, 1, -3
20, 0, 6
20, 4, 0
20, 1, -7
20, -2, -3
20, 4, -1
22, -4, 3
22, -7, -2
22, -6, 2
24, 4, 1
24, 1, -10
24, -1, -1
24, -8, 0
24, 4, -5
25, -6, 4
25, -1, 4
25, 11, 0
26, 2, -2
26, 4, -1
26, -5, -5
26, 9, 0
26, -8, -3
26, -3, -2
27, -7, -4

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 3, -2
14, 2, -4
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -5, -1
19, -2, -2
19, -4, -3
20, 0, -7
20, 0, 6
20, -1, 4
20, -2, 0
20, 4, -1
22, -4, 3
22, 4, -4
22, -2, -3
24, -8, -1
24, -1, 3
24, 3, 4
26, 0, -7

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 2, -4
14, 2, -2
15, -2, -5
15, 3, -3
16, 0, -3
16, -2, -1
17, -1, 1
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -5, -1
19, -2, -2
19, -4, -3
20, 0, -7
20, 0, 6
20, -1, 4
20, -2, 0
22, -4, 3
22, 4, -4
22, 2, 0
22, -7, -3
22, -3, -6
24, 5, -2
24, 10, -1
24, -3, -1
26, -6, 3
28, -9, 0

lifespan : 27
3, -1, -2
5, -1, -1
8, 1, -2
11, 1, -1
11, -2, 0
14, 2, -4
14, 3, -2
15, 3, -3
15, -2, -5
16, 0, -3
16, -2, -1
17, -1, 1
17, -3, -3
17, 4, 2
17, -1, -6
17, 4, -2
17, 4, -4
19, -5, -2
19, -4, -3
19, -5, -1
19, 0, -3
19, 2, 2
20, 0, 6
20, 4, 0
20, 1, -7
22, 6, -1
22, -4, 3
22, -7, -2
22, -6, 2
23, -6, -4
24, 4, 1
24, 1, -10
24, -8, 0
24, 6, -5
24, -1, -1
25, -6, 4
25, -1, 4
25, -7, -4
26, 5, -6
26, 4, -6
26, 7, 4
27, 2, -2
27, -4, -5
27, 4, -1
27, 3, -2

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
11, -2, 0
11, 1, -1
14, 3, -2
14, 2, -4
15, -2, -5
