SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, -5
22, -2, -7
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, -2, 0
25, 0, 9
25, 4, 4
25, -3, -3
26, 2, 8
26, 4, 0
26, -2, -9
27, -1, -1
27, 3, -8
27, 4, -7
28, 5, -3

lifespan : 29
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, -5
22, -2, -7
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, -2, 0
25, 0, 9
25, 4, 4
26, 2, 8
26, 4, 0
26, -2, -9
26, -7, -4
27, -1, -1
27, 3, -8
28, 5, -3
28, -2, -3
29, 4, -3

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, -5
22, -2, -7
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, -2, 0
25, 0, 9
25, 4, 4
26, 2, 8
26, 4, 0
26, -2, -9
26, -7, -4
26, 6, 3
27, -1, -1
27, 3, -8
28, 5, -3
28, -2, -3

lifespan : 30
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, -5
22, -2, -7
23, 8, 1
24, 2, 6
25, 1, -8
25, 1, 7
25, 5, -4
25, -2, 0
25, 0, 9
25, 4, 4
26, 2, 8
26, 4, 0
26, -2, -9
26, -7, -4
27, -1, -1
27, 3, -8
28, 5, -3
29, 4, -3
30, -2, -3
30, -2, 4
30, 2, 7
30, 0, -4
30, -1, -2
30, -6, 3

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, -5
22, -2, -7
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, -2, 0
25, 0, 9
25, 4, 4
26, 2, 8
26, 4, 0
26, -2, -9
27, -1, -1
27, 3, -8
27, 1, 2

lifespan : 29
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, -5
22, -2, -7
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, -2, 0
25, 0, 9
25, 4, 4
26, 2, 8
26, 4, 0
26, -2, -9
26, -7, -4
27, -1, -1
27, 3, -8
28, 5, -3
29, 4, -3

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, -5
22, -2, -7
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, -2, 0
25, 0, 9
25, 4, 4
26, 2, 8
26, 4, 0
26, -2, -9
26, -7, -4
27, -1, -1
27, 3, -8
28, 5, -3

lifespan : 29
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, -5
22, -2, -7
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, -2, 0
25, 0, 9
25, 4, 4
26, 2, 8
26, 4, 0
26, -2, -9
26, -7, -4
27, -1, -1
27, 3, -8
28, 5, -3
29, 4, -3
