SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

22, -2, -5
23, 8, 1
25, 2, -4
25, 3, 7
25, 3, -4
25, -4, -5
25, 1, -2
25, 11, -2

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, 2
22, -2, -5
23, 8, 1
25, 2, -4
25, 3, 7
25, 3, -4
25, -4, -5
25, 1, -2
25, 11, -2

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, 2
22, -2, -5
23, 8, 1
25, 2, -4
25, 3, 7
25, 1, -5
25, 3, -4
25, -4, -5
25, 11, -2

lifespan : 25
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
20, 6, -4
20, -2, 3
21, -4, -1
22, 5, 2
22, -2, -5
23, 8, 1
25, 2, -4
25, 3, 7
25, 1, -5
25, 3, -4
25, -4, -5
25, 11, -2
