SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

25, 1, 7
25, 5, -4
25, 0, 9
25, -3, 0
25, 5, -7
25, 4, -1
26, 2, 8
26, -7, -4
26, 4, -9
26, 7, -2
26, -1, -4
26, 4, 6
27, -2, -7
27, 4, -3
28, 1, -7
28, -4, 2

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, -2, -7
22, 5, 2
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, -3, 0
25, 5, -7
26, 2, 8
26, -7, -4
26, 4, -9
26, 7, -2
26, -1, -4
26, 4, 6
26, -1, 7
26, 4, -4
27, -2, -7
27, 4, -3
27, -3, 3
28, 1, -7
28, -4, 2

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, -2, -7
22, 5, 2
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, 0, 9
25, -3, 0
25, 5, -7
26, 2, 8
26, -7, -4
26, 4, -9
26, 7, -2
26, -1, -4
26, 4, 6
26, -6, 1
27, -2, -7
27, 4, -3
28, 1, -7

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, -2, -7
22, 5, 2
23, 8, 1
25, 1, -8
25, 5, -4
25, 0, 9
25, -3, 0
25, 5, -7
26, 2, 8
26, -7, -4
26, 4, -9
26, 7, -2
26, -1, -4
26, 4, 6
27, -2, -7

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, -2, -7
22, 5, 2
23, 8, 1
25, 1, -8
25, 5, -4
25, 0, 9
25, -3, 0
25, 5, -7
26, 2, 8
26, -7, -4
26, 4, -9
26, 7, -2
26, -1, -4
26, 4, 6
27, -2, -7
28, 1, -7

lifespan : 29
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, -2, -7
22, 5, 2
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, 0, 9
25, -3, 0
25, 5, -7
26, 2, 8
26, -7, -4
26, 4, -9
26, 7, -2
26, -1, -4
26, 4, 6
27, -2, -7
27, 4, -3
28, 1, -7
29, 6, -4
29, -2, -1

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, -2, -7
22, 5, 2
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, 0, 9
25, -3, 0
25, 5, -7
26, 2, 8
26, -7, -4
26, 4, -9
26, 7, -2
26, -1, -4
26, 4, 6
27, -2, -7
27, 4, -3
27, -1, 9
27, -1, 7

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
15, 0, 5
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, -2, -7
22, 5, 2
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, 0, 9
25, -3, 0
25, 2, -6
26, 2, 8
26, -7, -4
26, 4, -9
26, 7, -2
26, -1, -4
26, 4, 6
27, -2, -7
28, 1, -7

lifespan : 28
3, -1, -2
5, -1, -1
8, 1, -2
14, 0, 5
14, 2, -4
14, -3, -3
16, 3, -3
18, 4, -4
18, 2, -5
18, 0, 2
19, 2, -7
20, 6, -4
20, -2, 3
21, -4, -1
22, -2, -7
22, 5, 2
23, 8, 1
25, 1, -8
25, 1, 7
25, 5, -4
25, 0, 9
25, -3, 0
25, 5, -7
26, 2, 8
26, -7, -4
26, 4, -9
26, 7, -2
26, -1, -4
26, 4, 6
27, -2, -7
27, 4, -3
28, 1, -7
