SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive1
maxLifespan : 75
targetLifespan : 33
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 120
hueRange : 100

Saved Organisms : 20

25, -3, -4
25, -4, 4
25, 1, 5
26, -3, -5
26, -11, -1
26, -5, 3
26, 1, 3
27, -5, 4
27, -9, -2
27, -7, -1
29, -12, -1
29, 3, 2
29, -8, -2

lifespan : 33
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
23, -3, -2
24, -9, -2
25, -3, -4
25, -4, 4
25, 1, 5
26, -3, -5
26, -11, -1
26, -5, 3
26, 1, 3
27, -5, 4
27, -9, -2
27, -7, -1
29, -12, -1
29, 5, 1
29, -8, -2

lifespan : 32
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
23, -3, -2
24, -9, -2
25, -3, -4
25, -4, 4
25, 1, 5
26, -3, -5
26, -11, -1
26, -5, 3
26, 1, 3
27, -5, 4
27, -9, -2
27, -7, -1
29, -12, -1
29, 3, 2
29, -8, -2

lifespan : 32
18, -4, -3
18, -5, -1
20, 2, 1
20, -6, -3
20, 0, 1
21, -6, -3
23, 1, 5
23, -3, -2
24, -9, -2
25, -3, -4
25, -4, 4
25, 1, 5
26, -3, -5
26, -11, -1
26, -5, 3
26, 1, 3
27, -5, 4
27, -9, -2
27, -7, -1
29, -12, -1
29, 3, 2
29, -8, -2
