SproutLife Genome
V1

seedType : 2x2 Box to R-Pentomino
competitiveMode : competitive1
maxLifespan : 65
targetLifespan : 20
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 240
hueRange : 200

Saved Organisms : 20

35, 6, -3
35, 0, 2
36, 1, -3
37, 8, 2
37, 3, 0
38, -6, 4
38, 8, -2
39, -10, -9
39, 3, -3
40, 6, -2
44, -6, -4
49, -6, 0
50, -5, 1
53, 0, 1

lifespan : 64
8, 1, 0
15, 1, -2
19, 0, -1
19, 1, 0
19, 1, 1
20, -6, 1
21, 1, 0
21, 0, 0
21, -2, 2
21, -9, 0
22, 0, 2
23, 4, 2
23, 0, -2
23, -4, 2
23, 0, 0
23, 1, 3
23, -1, 2
24, -4, -5
27, -2, 3
27, 3, 3
28, 2, -1
29, 0, -5
29, -6, -1
29, 2, 1
30, 2, 0
32, -9, -8
33, -1, 0
33, -7, 5
34, 4, -3
35, 6, -3
35, -4, -6
35, 0, 2
37, 3, 0
39, -10, -9
39, 3, -3
42, 4, -1
44, -6, -4
49, -6, 0
50, -5, 1
53, 0, 1
56, 4, 5
56, 2, 0
56, -4, 5

lifespan : 49
8, 1, 0
19, 0, -1
21, 1, 0
21, 0, 0
23, 4, 2
23, 0, -2
23, -4, 2
24, -2, 1
24, -2, -2
27, -2, -4
27, 3, 3
29, -6, -1
33, -4, 3
34, 4, -3
35, 6, -3
36, -7, -3
36, 3, 2
37, 8, 2
37, 3, 0
38, -6, 4
38, 1, -3
39, -10, -9
39, 3, -3
41, -1, -4
41, -7, 6
42, 4, -1
45, -3, -2
47, -6, -6
49, -6, 0
49, 0, -1

lifespan : 54
8, 1, 0
19, 0, -1
20, -1, -2
21, 1, 0
22, 0, -2
23, 4, 2
23, 0, -2
23, -4, 2
23, -8, -2
24, -2, 1
24, -2, -2
26, -3, -5
27, -2, -4
27, 3, 3
29, 0, -5
29, -6, -1
30, -1, -4
34, 4, -3
35, 6, -3
37, 8, 2
37, 3, 0
38, 1, -3
39, -10, -9
39, 3, -3
41, -1, -4
41, -7, 6
42, 4, -1
46, -5, -10
49, -6, 0
52, -8, -4

lifespan : 41
8, 1, 0
19, 0, -1
21, 1, 0
21, 0, 0
22, 0, 1
23, 4, 2
23, 0, -2
23, -4, 2
23, -8, -2
24, -2, 1
24, -2, -2
26, -3, -5
27, -2, -4
27, 3, 3
29, 0, -5
29, -6, -1
30, -1, -4
34, 4, -3
35, 6, -3
37, 8, 2
37, 3, 0
38, 1, -3
39, -10, -9
39, 3, -3
41, -1, -4
41, -7, 6

lifespan : 60
8, 1, 0
20, -1, -2
20, -1, -1
21, 1, 0
21, 0, 0
22, 0, 1
23, 4, 2
23, 0, -2
23, -4, 2
23, -8, -2
24, -2, 1
24, -2, -2
26, -3, -5
27, -2, -4
27, 3, 3
29, 0, -5
29, -6, -1
30, -1, -4
34, 4, -3
35, 6, -3
37, 8, 2
37, 3, 0
38, 1, -3
39, -10, -9
39, 3, -3
41, -1, -4
41, -7, 6
42, 4, -1
46, -5, -10
49, -6, 0
52, -8, -4

lifespan : 62
8, 1, 0
12, -1, -2
19, 0, -1
19, -2, -1
21, 1, 0
21, 0, 0
21, -2, 2
23, 4, 2
23, 0, -2
23, 0, 0
24, -2, 1
24, -4, -5
25, 2, -2
27, -2, 3
27, -2, -4
27, 3, 3
27, -2, 7
28, -2, 2
28, 2, -1
29, 0, -5
29, -6, -1
29, 2, 1
30, 2, 0
33, -1, 0
34, 4, -3
35, 6, -3
35, 0, 2
36, 1, -3
37, 8, 2
37, 3, 0
38, -6, 4
38, 8, -2
39, -10, -9
39, 3, -3
40, 6, -2
44, -6, -4
49, -6, 0
50, -5, 1
53, 0, 1

lifespan : 51
8, 1, 0
19, 0, -1
21, 1, 0
21, 0, 0
23, 4, 2
23, 0, -2
23, -4, 2
24, -2, 1
24, -2, -2
27, -2, -4
27, 3, 3
28, -2, 2
29, -6, -1
34, 4, -3
35, 6, -3
36, -7, -3
36, 3, 2
37, 8, 2
37, 3, 0
38, -6, 4
38, 1, -3
39, -10, -9
39, 3, -3
41, -1, -4
41, -7, 6
42, 4, -1
45, -3, -2
47, -6, -6
49, -6, 0
49, 0, -1
51, -15, 0

lifespan : 51
17, 0, 4
19, 0, -1
20, -1, -2
21, 1, 0
22, 0, -2
23, 4, 2
23, 0, -2
23, -4, 2
23, -8, -2
24, -2, 1
24, -2, -2
26, -3, -5
27, -2, -4
27, 3, 3
29, 0, -5
29, -6, -1
30, -1, -4
34, 4, -3
35, 6, -3
37, 8, 2
37, 3, 0
38, 1, -3
39, -10, -9
39, 3, -3
41, -1, -4
41, -7, 6
42, 4, -1
46, -5, -10
49, -6, 0
