SproutLife Genome
V1

seedType : Bentline1 to R-Pentomino
competitiveMode : competitive2
maxLifespan : 75
targetLifespan : 25
minAgeToHaveChildren : 0
mutationRate : 6
sproutDelayedMode : false
primaryHueDegrees : 180
hueRange : 100

Saved Organisms : 20

19, 1, 2
20, 2, 3
21, 7, -2
22, -7, 0
25, 7, -5
25, -4, 3
25, 1, 3
26, -2, -4
26, 0, 3

lifespan : 26
3, -1, -2
9, 1, -1
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
15, -1, 4
15, 4, -1
17, -5, -1
18, 3, -2
19, -1, 0
19, -3, 1
19, 2, 3
20, 2, 3
20, 2, 2
24, 9, -2
25, 7, -5
26, -2, -4
26, -1, 3
26, -4, 3

lifespan : 29
3, -1, -2
9, 1, -1
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
15, -1, 4
15, 4, -1
17, -5, -1
18, -4, -3
18, 3, -3
19, -1, 0
19, -3, 1
19, 2, 3
22, 7, -4
23, -2, 2
25, 7, -5
25, -4, 3
25, -1, -4
26, -2, -4
26, -1, 3
26, -4, 3
27, 3, 4
27, -1, -12
27, -3, -2
27, -3, -9
27, 5, 1
28, -11, -2
29, 1, -12

lifespan : 26
3, -1, -2
9, 1, -1
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
15, -1, 4
15, 4, -1
17, -5, -1
18, -4, -3
19, -3, 1
19, 2, 3
19, 1, 2
24, -3, -7
25, -2, -2
26, -2, -4
26, -1, 3
26, -5, 4
26, 8, -2

lifespan : 27
3, -1, -2
9, 1, -1
12, -2, -4
12, -1, -4
14, -4, -1
14, 0, 4
14, 4, 1
14, -1, -4
15, -1, 4
15, 4, -1
17, -5, -1
18, 3, -2
19, -1, 0
19, -3, 1
19, 2, 3
20, 2, 3
25, 7, -5
26, -2, -4
26, -1, 3
26, -4, 3
27, 3, 4
27, -1, -12
27, -3, -2
27, -3, -9
